BTC_ADDRESS,ETH_PAYOUT,REFERRAL_CODE,HD OFFSET
1KDirqjRQNvNyboZDMrytnwPXBBfgmuNSK,0x7e0d39d2e3cff45cbedf5d1a78bd098d27b25d83,,157
16kKvAs8WBXgWC7348WyX6GH3oAo7CiL2H,0x2552a0e9451d2a7da30d82986b095181f46c8071,,158
1DLsRyCMayXEHsA1BsjygbZAWC57YFx1q,0xb8f7e0f144f3984fba5077c5aaf6bb954169abb8,,159
1NZ7n4e2D5ayubKzBjeUdgq2PNpj7GYneD,0x8ba7408497883d3a569066fa3a331aa892138868,,160
18fcc1quLBAaXdxEoDkaDCtZp8mDzGmZSh,0x3ada8851dee82e92badf9d171f013f766afc4a55,,161
1K3sMfwSf8rRdGubeMVLxSdqVpVasx9EhM,0xb5b881ab9aed2822ee34da78111135209091be9d,,162
1PSRiDHwpYFxEjpp6PTFGSrruiF8TgTtN6,0x7d09a5a71347ad3da13e67bb861035f9946c33e3,,163
1D7z8KHgXEvum6GKR3XN4tqacGt9YZTmfi,0x2552a0e9451d2a7da30d82986b095181f46c8071,,164
1Px3keeHyadnXPvyFfvXUyDDiWX66tNiXK,0x947126a9cc0d4aaf4e51355e5a754c19df0c18e6,,165
1H2V2kjuP3Li1hg1uHinEUeh92Pki4V71E,0x9b7f6ed548a445bdb2e2d7109e433e4e37eda26e,,166
1M1JyeWNzBb2yi2TT9E8Jiriah6kuJqbJ1,0x9b7f6ed548a445bdb2e2d7109e433e4e37eda26e,,167
1NceDQWc42ejVZus9GpaiZ3EdFKuHocztX,0x8ba7408497883d3a569066fa3a331aa892138868,,168
1FmQkeR8XrudPdBEfEdxGpVLAhTZUnmGhC,0xba97dc0d358adb19d388ce4c3852f8863074985b,,169
18wJe75njNps4Z1cMGHoAN9hUTPU9UxLQE,0x6744fb7c4541dffceabb42d7363d7313ebf71776,,170
165fdacKySsZexAsQnMbRptX6EDsft1T54,0x9b7f6ed548a445bdb2e2d7109e433e4e37eda26e,,171
1BwGFWTofVy46pKnaqyJYxcQ2zvmDkK5Zk,0x387bb7ce8515f3f54f1c37cbde239ef178eff981,,172
1GCwTf81C7gWUDX4Myr2hNx6hsaAuQbnjF,0xb0fefc6637235ddd846f93248f20fc8a36da9677,,173
